,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
3337,preschool learning,0.002,0.085,0.000,0.061,0.051,0.016,0.003,0.003,0.014,0.138,0.043,0.000,0.200,0.012,0.998,0.030,0.001,0.000,0.151,0.000,0.998,childcare,69
2320,intercity buses,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.998,0.177,0.002,0.001,0.293,0.668,0.000,0.000,0.001,0.027,0.000,0.053,0.256,0.998,transit,7
4503,transit passes,0.000,0.007,0.000,0.001,0.000,0.001,0.961,0.998,0.002,0.010,0.001,0.958,0.815,0.001,0.000,0.009,0.009,0.000,0.036,0.058,0.998,transit,12
867,city buses,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.998,0.311,0.002,0.001,0.430,0.685,0.000,0.000,0.002,0.132,0.000,0.177,0.079,0.998,transit,23
631,bridge construction,0.001,0.000,0.000,0.000,0.000,0.998,0.018,0.006,0.000,0.001,0.001,0.992,0.053,0.000,0.000,0.002,0.006,0.000,0.130,0.036,0.998,construction,33
1480,electric power,0.001,0.004,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.998,0.000,0.004,0.002,0.000,0.000,0.000,0.003,0.000,0.008,0.001,0.998,energy,80
4211,streetlight poles,0.000,0.000,0.000,0.000,0.000,0.265,0.002,0.003,0.003,0.026,0.000,0.999,0.953,0.000,0.000,0.001,0.014,0.000,0.058,0.009,0.999,infrastructure,5
4854,watermains,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.002,0.000,0.008,0.000,0.999,0.299,0.000,0.000,0.000,0.002,0.000,0.002,0.001,0.999,infrastructure,274
2124,homeless individuals,0.000,0.002,0.999,0.000,0.003,0.001,0.000,0.077,0.003,0.043,0.002,0.000,0.012,0.001,0.000,0.000,0.111,0.000,0.105,0.000,0.999,homelessness,38
4580,turn prohibitions (traffic),0.001,0.006,0.000,0.001,0.000,0.001,0.999,0.033,0.006,0.000,0.001,0.140,0.163,0.000,0.000,0.000,0.001,0.000,0.004,0.002,0.999,traffic,662
